"Gene","n_outliers","n_normals","outlier_mean_rank","normal_mean_rank","outlier_mean_magnitude","normal_mean_magnitude","standard_effect_size","magnitude_effect_size","phylo_diversity_score","phylo_weighted_effect","phylo_weighted_magnitude","p_value","species_in_analysis","adj_p_value"
"OR5W2",3,132,631,397.477272727273,4.16666666666667,3.66792929292929,233.522727272727,0.498737373737375,1.10149430236023,257.22395356253,0.54935637554582,0.625691853562687,135,0.832026877027634
"SYNM",2,21,1089,812.380952380952,0.75,0.976190476190476,276.619047619048,-0.226190476190476,0.929302135872453,257.062671775385,-0.210199292637817,0.19160214188854,23,0.454836482429136
"CYP4F11",11,248,612.818181818182,369.665322580645,1,3.33669354838709,243.152859237537,-2.33669354838709,1.02216367378538,248.542019889659,-2.38848326192994,0.0486745027819465,259,0.1809195956888
"ZNF426",3,117,610.333333333333,315.162393162393,15.6666666666667,13.9415954415954,295.17094017094,1.72507122507122,0.836612533601649,246.943708101991,1.44321620825014,0.432502459224936,120,0.688082840663294
"H2BC3",2,108,875,568.240740740741,2.25,2.08641975308642,306.759259259259,0.163580246913581,0.801169927198544,245.76629340822,0.131055574510873,0.67409719843498,110,0.864710839229554
"CT45A7",4,182,747.5,486.884615384615,1.125,2.42673992673993,260.615384615385,-1.30173992673993,0.939409600165919,244.824594258626,-1.22286698409877,0.334116307680602,186,0.604184022124161
"MYO9B",2,9,1193,948.111111111111,0.75,1.05555555555556,244.888888888889,-0.305555555555556,0.996226025395818,243.964684441376,-0.304402396648722,0.467183557029733,11,0.718338215315735
"CLEC4E",4,8,809.25,561.75,0.875,1.375,247.5,-0.5,0.982536081848097,243.177680257404,-0.491268040924049,0.434284344765099,12,0.688583126742235
"CYP4F8",7,244,600.714285714286,364.770491803279,1,3.51775956284153,235.943793911007,-2.51775956284153,1.02712747172457,242.344352508915,-2.58606001419177,0.0266264449372421,251,0.113289195511793
"H4C5",2,72,1193,695.638888888889,0.75,2.0625,497.361111111111,-1.3125,0.483117411228646,240.283812445803,-0.634091602237598,0.270443205377608,74,0.556431571379283
"H2BC7",2,106,886,591.216981132075,1,2.05031446540881,294.783018867925,-1.05031446540881,0.810486612328574,238.917690334254,-0.85126581294888,0.132735692279745,108,0.365880610408536
"CLCNKB",3,95,913,692.684210526316,0.833333333333333,1.08421052631579,220.315789473684,-0.250877192982456,1.07966751233627,237.867800349453,-0.270863954849274,0.551088507631937,98,0.780484699426694
"H2AC7",2,120,886,601.433333333333,1,1.87083333333333,284.566666666667,-0.870833333333333,0.833620726569145,237.220671424026,-0.725944716053963,0.151288622280507,122,0.392959413537737
"ZNF665",5,202,520.6,245.529702970297,1.7,7.12046204620462,275.070297029703,-5.42046204620462,0.854636615858858,235.085147776756,-4.6325253395597,0.0694649570144333,207,0.233006332065102
"CLCA4",5,47,659,468.297872340426,0.9,1.71276595744681,190.702127659574,-0.812765957446808,1.21096321740643,230.933262076891,-0.984229678828208,0.389051926829557,52,0.653757353572754
"PRAMEF33",2,93,720,458.258064516129,1.25,4.25627240143369,261.741935483871,-3.00627240143369,0.86589833291335,226.641905588997,-2.60312626068485,0.292421729906606,95,0.56937256352158
"MYO1C",2,56,1193,831.392857142857,0.75,1.94642857142857,361.607142857143,-1.19642857142857,0.625309294324774,226.116307322798,-0.748137905709998,0.345599305378177,58,0.613223839977265
"IGKV4-1",3,148,576.333333333333,363.256756756757,2,8.12387387387388,213.076576576577,-6.12387387387388,1.05641348257667,225.096968316775,-6.46934292595938,0.667198505099742,151,0.859920685910339
"IQGAP1",2,23,1317,926.260869565217,0.5,1.17391304347826,390.739130434783,-0.673913043478261,0.573830896732077,224.218185605703,-0.386712126058574,0.0800271208283053,25,0.257525697936406
"OR5H2",3,154,517.666666666667,303.987012987013,1.66666666666667,4.45779220779221,213.679653679654,-2.79112554112554,1.04853402777353,224.050387925981,-2.92659010565794,0.458902399984465,157,0.712061740593472
"TNFRSF13B",2,81,798,416.086419753086,3.75,5.98148148148148,381.913580246914,-2.23148148148148,0.586487663149803,223.987603204187,-1.30873635943613,0.64983921754327,83,0.849444363557636
"UGT3A1",2,104,758,499.298076923077,1,1.84615384615385,258.701923076923,-0.846153846153846,0.860053359955467,222.497458169248,-0.727737458423856,0.424900679326028,106,0.681619856165337
"HGSNAT",2,57,1193,913.947368421053,0.75,1.52046783625731,279.052631578947,-0.77046783625731,0.795054487442882,221.862046969587,-0.612563910646782,0.427331718610717,59,0.682946654880614
"F2RL1",2,4,923.5,656.25,0.75,0.833333333333333,267.25,-0.0833333333333333,0.826658085333778,220.924373305452,-0.0688881737778148,0.689377752330057,6,0.873278151682058
"OR6K3",4,116,564,345.741379310345,3.875,5.67097701149425,218.258620689655,-1.79597701149425,1.01109339230029,220.679849191885,-1.81590048904506,0.510818100678231,120,0.755386359407028
"PRH2",4,168,619.5,393.625,2.625,3.52579365079365,225.875,-0.90079365079365,0.976686241007529,220.609004687576,-0.879792764717099,0.466511277540872,172,0.718322904074425
"SCYGR3",2,89,919,699.078651685393,0.75,1.4625468164794,219.921348314607,-0.7125468164794,0.981046936410016,215.753165015205,-0.699041871355826,0.737152957372529,91,0.897567883324519
"PRDM16",2,32,919.5,738.3125,0.75,1.203125,181.1875,-0.453125,1.19053959534913,215.710892932321,-0.539463254142575,0.779477251213301,34,0.912124521907907
"SERPINB6",3,154,774.333333333333,557.506493506493,1,2.40909090909091,216.82683982684,-1.40909090909091,0.989978554885197,214.653921552099,-1.39496978188369,0.209653470009833,157,0.481392370066515
"ECHDC3",3,2,699.333333333333,438,0.833333333333333,1.5,261.333333333333,-0.666666666666667,0.82134555652864,214.644972106151,-0.547563704352427,0.549131013059907,5,0.779291389071541
"OR1R1P",2,31,815.5,620.451612903226,0.75,1.25268817204301,195.048387096774,-0.502688172043011,1.09300450610314,213.188766004923,-0.54944043720776,0.709552698658232,33,0.885630379492089
"TMSB4Y",3,95,979,676.452631578947,0.833333333333333,1.55175438596491,302.547368421053,-0.718421052631579,0.704275548124202,213.076713728272,-0.505966380626071,0.351368848368653,98,0.618845818147698
