"Gene","n_outliers","n_normals","outlier_mean_rank","normal_mean_rank","outlier_mean_magnitude","normal_mean_magnitude","standard_effect_size","magnitude_effect_size","phylo_diversity_score","phylo_weighted_effect","phylo_weighted_magnitude","p_value","species_in_analysis","adj_p_value"
"CLDN15",3,4,1351.66666666667,390.75,0.583333333333333,1,960.916666666667,-0.416666666666667,1.11147463053837,1068.03449706149,-0.463114429390986,0.150709949070959,7,0.450102359108783
"EPC2",2,5,2221.5,523.4,0.5,1,1698.1,-0.5,0.628142988399837,1066.64960860176,-0.314071494199918,0.0181421320161958,7,0.173435309896456
"NME8",2,7,2221.5,596.857142857143,0.5,0.857142857142857,1624.64285714286,-0.357142857142857,0.651929492011358,1059.15259255702,-0.232831961432628,0.00218634448520967,9,0.0436831628144891
"VCP",3,14,1814,836.5,0.5,0.964285714285714,977.5,-0.464285714285714,1.07121202365736,1047.10975312507,-0.497348439555201,0.0511764428304017,17,0.280144190171807
"KRTAP9-9",4,133,1597.5,511.187969924812,0.75,2.74185463659148,1086.31203007519,-1.99185463659148,0.958164121771943,1040.86521226729,-1.90852364856705,0.0291143527242345,137,0.219511232992531
"VSTM1",2,61,2221.5,854.393442622951,0.5,1.25136612021858,1367.10655737705,-0.751366120218579,0.758785134103578,1037.34013247322,-0.57012544229094,0.0336690852477198,63,0.233452190172659
"TCF3",2,22,2221.5,1145,0.5,0.977272727272727,1076.5,-0.477272727272727,0.956393509332943,1029.55761279691,-0.456460538545268,0.00717823009560487,24,0.0976962508284764
"OR4K13",3,113,1505,452.725663716814,0.833333333333333,2.64896755162242,1052.27433628319,-1.81563421828909,0.966591995702448,1017.11995073443,-1.7549775025217,0.143877735540743,116,0.442939469353475
"TYRP1",2,3,1544,450.666666666667,0.5,1,1093.33333333333,-0.5,0.92820861975968,1014.84142427058,-0.46410430987984,0.00621295693992328,5,0.0897680644672169
"RASIP1",2,6,2221.5,742,0.5,1.22222222222222,1479.5,-0.722222222222222,0.68235582148125,1009.54543788151,-0.492812537736458,0.0014684233983854,8,0.0318502568265891
"STAMBP",2,44,1544,539.045454545455,0.5,2.66666666666667,1004.95454545455,-2.16666666666667,0.998014839113692,1002.95954899839,-2.16236548474633,0.00626759008667505,46,0.0897680644672169
"OR4P4",2,86,1346.5,455.127906976744,1.25,2.1937984496124,891.372093023256,-0.943798449612403,1.12447437763218,1002.32507954102,-1.06127717423813,0.441887310050767,88,0.672346285557894
"SPECC1",4,48,1784.75,751.375,0.625,1.41319444444444,1033.375,-0.788194444444444,0.967384726720999,999.671191975312,-0.762487267241898,0.0319102868809599,52,0.228516893759987
"NECAP2",2,23,2221.5,1111.73913043478,0.5,0.956521739130435,1109.76086956522,-0.456521739130435,0.898721033756787,997.365435918483,-0.410285689323751,0.0116878225256878,25,0.133823893445984
"LEFTY2",3,14,1523,600.285714285714,0.833333333333333,1.03571428571429,922.714285714286,-0.202380952380952,1.06112212022752,979.11253922136,-0.21475090528414,0.0802006757961487,17,0.35334277892107
"DEFB135",2,6,1510.5,531.666666666667,1.25,1.25,978.833333333333,0,0.997316882173438,976.207008167433,0,0.336686527526152,8,0.600356699685186
"ZG16",4,37,1401.25,457.216216216216,0.75,1.56756756756757,944.033783783784,-0.817567567567567,1.03179927158599,974.053370460678,-0.843565620688549,0.0443475795929329,41,0.264920952271546
"OR56A3",3,115,1432.66666666667,448.782608695652,1.16666666666667,2.14492753623188,983.884057971014,-0.978260869565218,0.988863956015124,972.927481825431,-0.967366913493056,0.191623486547691,118,0.495765676006406
"SMG1",2,7,1847,770,0.75,0.857142857142857,1077,-0.107142857142857,0.897014909919309,966.085057983095,-0.0961087403484973,0.256372681049383,9,0.542619297390536
"NOX4",3,36,1273.33333333333,512.111111111111,1,1.91666666666667,761.222222222222,-0.916666666666667,1.26552071268355,963.342489177219,-1.16006065329325,0.00288330308609082,39,0.0528517391377014
"CHFR",2,23,1903.5,888.391304347826,0.5,1.20289855072464,1015.10869565217,-0.702898550724638,0.948989975425805,963.327976141477,-0.667043678379008,0.249222171485118,25,0.538948041857232
"CES2",2,103,1188,365.378640776699,0.75,5.65857605177994,822.621359223301,-4.90857605177994,1.1629572888821,956.67350569884,-5.70846429744961,0.191805239015491,105,0.495765676006406
"OR5H2",3,154,1201.33333333333,290.668831168831,3.16666666666667,4.42857142857143,910.664502164502,-1.26190476190476,1.04853402777353,954.862718404923,-1.3231500826666,0.284545749173982,157,0.568522406849617
"PFKL",2,75,1707.5,759.453333333333,0.75,1.13333333333333,948.046666666667,-0.383333333333333,0.99404153288641,942.397761781185,-0.381049254273124,0.379415826371838,77,0.634105245580035
