"","X","Scientific_name","maximum_longevity_y","adult_body_mass_g","order","common_name","MLres"
"119",119,"Giraffa_camelopardalis",39.5,8e+05,"Artiodactyla","Giraffe",-0.0374377800340047
"120",120,"Glis_glis",8.7,125,"Rodentia","Fat dormouse",-0.104553495526164
"121",121,"Globicephala_melas",60,1060000,"Cetacea","Long-finned pilot whale",0.125172777716502
"122",122,"Gorilla_beringei",55.4,139842,"Primates","Eastern Gorilla",0.226880847039397
"123",123,"Gorilla_gorilla",60.1,139842,"Primates","Gorilla",0.262245554313707
"124",124,"Gracilinanus_agilis",6.1,22,"Didelphimorphia","Paraguayan slender mouse opossum",-0.141796537838447
"125",125,"Grampus_griseus",42.5,425000,"Cetacea","Risso's dolphin",0.0369330236166912
"126",126,"Graphiurus_murinus",6.9,24,"Rodentia","Woodland dormouse",-0.0941345510615227
"127",127,"Gulo_gulo",19.5,16333.3,"Carnivora","Wolverine",-0.0820458979704672
"128",128,"Gymnobelideus_leadbeateri",14.1,127,"Diprotodontia","Leadbeater's possum",0.104077832114543
"129",129,"Halichoerus_grypus",42.9,268000,"Carnivora","Gray seal",0.0720409994684275
"130",130,"Helarctos_malayanus",35.9,46000,"Carnivora","Sun bear",0.113312435939227
"131",131,"Helogale_parvula",18,274.8,"Carnivora","Dwarf mongoose",0.158172835735087
"132",132,"Heterocephalus_glaber",31,35,"Rodentia","Naked mole-rat",0.532980065457513
"133",133,"Heterohyrax_brucei",14,2456.7,"Hyracoidea","Bush hyrax",-0.0984296779480915
"134",134,"Hippopotamus_amphibius",61.2,3750000,"Artiodactyla","Hippopotamus",0.0487199020472181
"135",135,"Hippotragus_equinus",25.9,225000,"Artiodactyla","Roan antelope",-0.13534384142735
"136",136,"Hyaena_hyaena",25,40000,"Carnivora","Striped hyena",-0.0344337712309803
"137",137,"Hydrochoerus_hydrochaeris",15.1,55000,"Rodentia","Capybara",-0.27483390458465
"138",138,"Hydropotes_inermis",13.9,11500,"Artiodactyla","Chinese water deer",-0.205447244384602
"139",139,"Hylobates_agilis",49,5925,"Primates","Agile gibbon",0.386375825865528
"140",140,"Hylobates_moloch",45,6207.5,"Primates","Silvery gibbon",0.346256839223925
"141",141,"Hylobates_pileatus",38,5735,"Primates","Pileated gibbon",0.278157372719625
"142",142,"Hystrix_cristata",28,20000,"Rodentia","African porcupine",0.0614442354393983
"143",143,"Ictidomys_tridecemlineatus",7.9,172.7,"Rodentia","Thirteen-lined ground squirrel",-0.168205073232116
"144",144,"Jaculus_jaculus",7.3,55,"Rodentia","Lesser Egyptian jerboa",-0.125484656485614
"145",145,"Kobus_ellipsiprymnus",30,175333,"Artiodactyla","Waterbuck",-0.0547328079430566
"146",146,"Lama_glama",28.9,140000,"Artiodactyla","Llama",-0.0558070888923557
"147",147,"Lasiurus_borealis",2.575,13,"Chiroptera","Eastern Red Bat",-0.480934589538573
"148",148,"Lemur_catta",37.3,2555,"Primates","Ring-tailed lemur",0.324510088550559
"149",149,"Leontopithecus_chrysomelas",21.3,535,"Primates","Golden-headed lion tamarin",0.186432369084726
"150",150,"Leontopithecus_rosalia",31.6,654.5,"Primates","Golden lion tamarin",0.34416859124936
"151",151,"Leptonychotes_weddellii",25,425000,"Carnivora","Weddell seal",-0.193515897761583
"152",152,"Leptonycteris_yerbabuenae",10.1,24.26,"Chiroptera","Lesser Long-nosed Bat",0.0706123957843986
"153",153,"Lepus_americanus",8,1600,"Lagomorpha","Snowshoe hare",-0.312601537396969
"154",154,"Lepus_timidus",18,4175,"Lagomorpha","Mountain hare",-0.0249826394334503
"155",155,"Litocranius_walleri",17.3,43500,"Artiodactyla","Gerenuk",-0.199974253446857
"156",156,"Lontra_canadensis",27,9000,"Carnivora","Northern river otter",0.0994024141644901
"157",157,"Lophocebus_aterrimus",36.68333333,6768.75,"Primates","Black Crested Mangabey",0.251686355195794
"158",158,"Loris_tardigradus",21.6,238.2,"Primates","Slender loris",0.246975771337328
"159",159,"Loxodonta_africana",65,4800000,"Proboscidea","African bush elephant",0.0582641720576318
"160",160,"Lutra_lutra",18.2,6750,"Carnivora","European otter",-0.0525243189335899
"161",161,"Lycaon_pictus",17,26500,"Carnivora","African wild dog",-0.174208471531224
"162",162,"Lynx_canadensis",26.8,10100,"Carnivora","Canada lynx",0.0884111643855368
"163",163,"Lynx_pardinus",13,11000,"Carnivora","Spanish lynx",-0.23152637181393
"164",164,"Macaca_arctoides",29.2,9275,"Primates","Stump-tailed macaque",0.131395418550285
"165",165,"Macaca_assamensis",31.4,9100,"Primates","Assam macaque",0.164224465896851
"166",166,"Macaca_cyclopis",21.45833333,6032.805,"Primates","Formosan Rock Macaque",0.0265619297714911
"167",167,"Macaca_fascicularis",39,6362.5,"Primates","Long-tailed macaque",0.282448705163651
"168",168,"Macaca_fuscata",38.5,8882.5,"Primates","Japanese macaque",0.254384016317212
"169",169,"Macaca_mulatta",40,8235,"Primates","Rhesus monkey",0.276078414643544
